slot,cluster
1,6
2,1
3,2
4,1
5,2
6,4
7,6
8,6
9,6
10,1
11,7
12,6
13,1
14,2
15,4
16,7
17,6
18,1
19,4
20,7
21,1
22,7
23,2
24,6
25,6
26,1
27,5
28,4
29,2
30,4
31,4
32,2
33,4
34,7
35,7
36,6
37,1
38,4
39,6
40,1
41,4
42,6
43,6
44,1
45,4
46,1
47,2
48,4
49,6
50,1
51,4
52,4
53,7
54,7
55,6
56,1
57,5
58,4
59,7
60,9
61,7
62,6
63,6
64,2
65,5
66,7
67,7
68,7
69,6
70,2
71,2
72,5
73,4
74,7
75,6
76,7
77,7
78,7
79,7
80,6
81,4
82,2
83,2
84,2
85,5
86,5
87,5
88,4
89,3
90,5
91,5
92,3
93,3
94,1
95,2
96,2
97,5
98,4
99,2
100,2
101,2
102,4
103,7
104,7
105,7
106,7
107,3
108,5
109,5
110,5
111,3
112,3
113,8
114,8
115,3
116,3
117,6
118,3
119,3
120,3
121,3
122,5
123,5
124,5
125,5
126,3
127,5
128,5
129,4
130,8
131,6
132,4
133,2
134,2
135,2
136,8
137,8
138,5
139,5
140,5
141,8
142,8
143,5
144,3
145,3
146,3
147,3
148,5
149,8
150,5
151,3
152,3
153,8
154,3
155,3
156,8
157,8
158,2
159,2
160,8
161,5
162,3
163,3
164,3
165,5
166,3
167,3
168,8
169,8
170,5
171,3
172,5
173,8
174,8
175,8
176,8
177,10
178,8
179,8
180,8
181,5
182,3
183,3
184,3
185,3
186,3
187,8
188,8
189,8
190,8
191,4
192,1
193,3
194,8
195,8
196,8
197,8
198,8
199,8
200,8
201,8
202,8
203,8
204,8
205,8
206,5
207,3
208,3
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,8
217,8
218,8
219,8
220,8
221,8
222,8
223,8
224,8
225,8
226,8
227,8
228,8
229,8
230,8
231,4
232,8
233,8
234,8
235,8
236,5
237,5
238,3
239,8
240,8
241,8
242,8
243,8
244,3
245,8
246,8
247,8
248,8
249,8
250,8
251,5
252,2
253,8
254,8
255,5
256,4
257,2
258,2
259,2
260,2
261,2
262,2
263,8
264,8
265,8
266,8
267,8
268,5
269,5
270,4
271,2
272,2
273,6
274,6
275,2
276,2
277,5
278,6
279,2
280,2
281,6
282,1
283,1
284,4
285,4
286,4
287,7
288,1
289,2
290,2
291,6
292,1
293,1
294,3
295,3
296,6
297,1
298,2
299,1
300,4
301,1
302,1
303,2
304,2
305,2
306,2
307,4
308,4
309,2
310,4
311,1
312,2
313,6
314,7
315,7
316,6
317,6
318,6
319,1
320,4
321,6
322,1
323,4
324,2
325,2
326,2
327,4
328,2
329,1
330,4
331,1
332,6
333,2
334,2
335,2
336,4
337,2
338,4
339,2
340,1
341,2
342,4
343,4
344,7
345,6
346,6
347,2
348,4
349,7
350,6
351,1
352,1
353,4
354,7
355,6
356,1
357,4
358,6
359,4
360,7
361,1
362,4
363,4
364,6
365,4
