Period_Index,Rep_Period_Index,Month,Rep_Period
1,5,1,1
2,6,1,2
3,8,1,3
4,12,1,9
5,6,2,2
6,11,2,6
7,13,2,52
8,12,2,9
9,12,3,9
10,1,3,10
11,10,3,11
12,13,3,52
13,10,4,11
14,2,4,16
15,15,4,15
16,2,4,16
17,15,4,15
18,9,5,22
19,4,5,28
20,9,5,22
21,9,5,22
22,9,6,22
23,9,6,22
24,4,6,28
25,9,6,22
26,9,7,22
27,4,7,28
28,4,7,28
29,4,7,28
30,4,7,28
31,4,8,28
32,16,8,32
33,3,8,36
34,4,8,28
35,4,9,28
36,3,9,36
37,3,9,36
38,2,9,16
39,3,9,36
40,3,10,36
41,3,10,36
42,1,10,10
43,7,10,44
44,7,11,44
45,14,11,46
46,14,11,46
47,7,11,44
48,11,12,6
49,5,12,1
50,14,12,46
51,8,12,3
52,13,12,52
